Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Center,11,2,-1572.8190432521646,729.4040688692592,0.0
Solar Panel 1a,11,101,13.364311898065123,-11.519437780412773,0.0
Solar Panel 1b,11,101,14.483997195056418,-11.38722562141129,0.0
Solar Panel 2a,11,102,20.695824675938866,-10.546840097535096,0.0
Solar Panel 2b,11,102,21.804664129272624,-10.441630119055844,0.0
DAQ Box Corner 1,11,100,16.81985604399324,-9.55023721874602,0.0
DAQ Box Corner 2,11,100,18.69751905851126,-10.71318868829303,0.0
Wind Turbine 1,11,103,21.963509209273752,-1.998878481747397,0.0
Wind Turbine 2,11,103,22.09061359525049,-1.678205888953357,0.0
Wind Turbine 3,11,103,21.65233806736273,-1.7370460566478414,0.0
